1252955653280346112,2020-04-22 13:41:21,"Nord, France",fr,"Aujourd'hui, nous fêtons la #JournéeMondialeDeLaTerre ! 🌍  Alors, on avait juste envie de vous montrer un peu de notre... Mer du #Nord, ô combien paisible actuellement.   #EarthDay #EarthDay2020 #ConfinementJour37    📷 : Aline Bué (garde départementale) https://t.co/nxJjnYZzq8"
1252983995475910662,2020-04-22 15:33:58,France,fr,🇫🇷 FLASH - L'Académie de médecine appelle les Français à porter un masque sans attendre dès qu'ils sortent de chez eux. C’est pour elle « le seul moyen à même d'endiguer la propagation du #COVID19 ». (Communiqué) #ConfinementJour37 #Covid_19
1253560451201470467,2020-04-24 05:44:36,Paris,fr,Honneur à eux. Le peuple français reconnaissant. Morts au front où ils étaient monté faire leur devoir.  Désarmés et sans moyens à cause d’une clique icompétente et dévoyée. À qui nous demanderons d’en répondre. Sans faiblir. #ConfinementJour37 #nousnoublieronspas https://t.co/eCkXgszJU6
1252998795216007169,2020-04-22 16:32:47,"Marseille, France",fr,"#Macron a l’air un peu mal à l’aise chez Super U mais on ne peut pas lui en vouloir. Le supermarché, c’est exotique, pour lui, alors il est émerveillé comme un touriste, il découvre... #confinement #ConfinementJour37 #COVID19 #PlusJamaisCa  https://t.co/FOmwlgErHS"
1253366966724722690,2020-04-23 16:55:45,"Paris, France",fr,Excellent @YannickBORDE @PROCIVIS @immoweek «cesser d’assimiler marché tendu aux métropoles &amp; marché détendu aux autres territoires. Il faudra s’appuyer sur les collectivités locales et les élus locaux» #immobilier #COVID19 #ConfinementJour37 #COVID__19 @Min_Territoires https://t.co/2rJ2qcTrpK
1252924767990157313,2020-04-22 11:38:37,Yerres,fr,"Révélations scandaleuses du @canardenchaine ! L'Etat aurait donné consigne le 19 mars de limiter l'accès à la réanimation des ""personnes fragiles"". Emmanuel Macron et son Gouvernement devront répondre devant la Justice et l’histoire pour cet ordre meurtrier !  #ConfinementJour37 https://t.co/IBdRTtsaGz"
1253560451201470467,2020-04-24 05:44:36,Paris,fr,Honneur à eux. Le peuple français reconnaissant. Morts au front où ils étaient monté faire leur devoir.  Désarmés et sans moyens à cause d’une clique icompétente et dévoyée. À qui nous demanderons d’en répondre. Sans faiblir. #ConfinementJour37 #nousnoublieronspas https://t.co/eCkXgszJU6
1252924767990157313,2020-04-22 11:38:37,Yerres,fr,"Révélations scandaleuses du @canardenchaine ! L'Etat aurait donné consigne le 19 mars de limiter l'accès à la réanimation des ""personnes fragiles"". Emmanuel Macron et son Gouvernement devront répondre devant la Justice et l’histoire pour cet ordre meurtrier !  #ConfinementJour37 https://t.co/IBdRTtsaGz"
1252958113528938496,2020-04-22 13:51:07,France,fr,"#ConfinementJour37 Désolé, mais #Macron doit respecter le confinement qu'il nous impose. Il n'a pas à aller se balader dans toute la France et faire le beau pour les téléspectateurs du journal de 20 Heures. Qu'il reste à l'Elysée, avec Brigitte et son chien!"
1252879430063583232,2020-04-22 08:38:28,France,fr,"🇫🇷 Lutte contre le #coronavirus : Une étude menée sur 480 malades du #COVID19, montre que la #nicotine aurait des vertus préventives, selon une équipe de la Pitié Salpêtrière. Cette hypothèse devrait bientôt faire l'objet d'une étude clinique. (Fr.Inter) #ConfinementJour37"
1253343624634433543,2020-04-23 15:23:00,75001 Paris,fr,🔵⚜️ Profitez de cette période de confinement pour en apprendre davantage sur notre mouvement. 🎧Ecoutez et réécoutez @thidal sur l'histoire et la doctrine de L'Action française. #ActionFrancaise #confinement #ConfinementJour37 https://t.co/dxwPJwIppC
1252870614127226885,2020-04-22 08:03:26,France,fr,L'affiche du jour avec Macron dans:  LE CAMP DE LA MORT   sans commentaire...  #ConfinementJour37 #Macronie #Macron #MacronDemission #MacronDestitution #Covid19 #Coronavirus #COVID-19 - PHOTOS MONTAGES https://t.co/AsM0AZN1oZ
1253569862959595521,2020-04-24 06:22:00,"Paris, France",fr,👏 #Nantes 150 ingénieurs et bénévoles ont mis au point un respirateur artificiel 30 fois moins cher qu'un modèle industriel.  Les plans sont open source et toutes les pièces peuvent être imprimées en 3D.   #confinementjour37 #covid19 https://t.co/03vmcM3XM1
1252861580645027843,2020-04-22 07:27:32,Paris 120 av du Gnrl Leclerc,fr,"""Comme on ne pouvait plus faire de restauration et on a un stock alimentaire, donc il faut pouvoir l’utiliser donc on va faire de la distribution alimentaire tous les matins pendant les jours de semaine."" #quarantaide #confinementjour37  👉 https://t.co/ygJaQY69lO https://t.co/eVVUKL35FG"
1252924767990157313,2020-04-22 11:38:37,Yerres,fr,"Révélations scandaleuses du @canardenchaine ! L'Etat aurait donné consigne le 19 mars de limiter l'accès à la réanimation des ""personnes fragiles"". Emmanuel Macron et son Gouvernement devront répondre devant la Justice et l’histoire pour cet ordre meurtrier !  #ConfinementJour37 https://t.co/IBdRTtsaGz"
1253017976858537984,2020-04-22 17:49:00,"Paris, France",fr,👏 #Nantes 1⃣5⃣0⃣ ingénieurs et bénévoles ont mis au point un respirateur artificiel 30 fois moins cher qu'un modèle industriel.  Les plans sont open source et toutes les pièces peuvent être imprimées en 3D.   #confinementjour37 @Makair_fr https://t.co/pok7xcQ1Ie
1253245419401949186,2020-04-23 08:52:46,"Moselle, Lorraine",fr,"#ConfinementJour37. 15 jours après avoir manifesté leur soutien symbolique devant le CHR Bel Air de Thionville, les policiers de Thionville reçoivent la visite surprise du SMUR à l’hôtel de police. #Merci !🤝  #Solidaires pour #SauverDesVies @chr_metz_thion https://t.co/VYkvYrQTC6"
